,ADI,AMD,AMKR,ENTG,FORM,FSLR,INTC,IPGP,KLIC,LSCC,MCHP,MPWR,MRVL,MU,OLED,ONTO,POWI,RMBS,SIMO,SLAB,SMTC,SPWR,STM,SWKS,TSEM,TSM,TXN,UCTT,UMC,XLNX,XPER
2021-08-02,166.29651892,108.63,25.169780626,121.2369931543,37.89,88.27,52.9701974552,217.5,54.1301858003,57.09,72.0753285081,453.3446030803,60.4718477842,77.4476280444,229.2323525624,70.52,96.1668583892,23.52,75.4123795815,155.03,62.2,24.18,41.1550592283,186.0885790521,29.32,115.8883736561,189.5572581244,54.13,10.29,148.7028348753,20.6643344271
2021-08-03,167.3481494536,112.56,25.867280485,122.666132551,37.86,92.34,53.3451727726,177.69,53.5034257001,58.12,72.9850315992,455.4194980643,61.2406000179,80.6596497124,228.5339601234,70.97,96.9747318107,24.49,76.6580481483,155.9,62.24,25.31,41.7934314509,186.9428799008,29.5,117.4254862624,188.1856714202,46.43,10.65,146.1875231295,21.0921468394
2021-08-04,171.2173561342,118.77,26.5448517766,124.1352478748,38.5,92.21,53.1872884284,179.87,52.8667170268,58.03,73.328034404,465.2852246947,61.7897087562,81.7768746404,231.0681269736,70.99,98.9096385238,25.0,80.3233784747,157.17,62.36,23.02,41.9131262427,185.552157589,29.25,117.7527424947,191.207137783,46.81,10.95,144.3609276951,20.7737748116
2021-08-05,168.5882798,112.35,27.0430659616,121.886601971,38.3,91.62,53.5203257168,183.62,60.049586747,59.9,74.4564639213,462.3424649819,60.9510699558,81.2880887344,233.2032124301,71.12,99.0791922048,25.01,79.975873129,158.03,62.88,23.5,42.1325666942,184.5587845091,29.49,118.2287515598,191.9823824418,47.74,11.55,150.6991140386,20.7240291823
2021-08-06,169.7788049324,110.11,27.3519587563,121.5068306628,38.65,93.15,53.550119923,181.55,64.9940275378,61.52,74.4316086456,460.6566128074,60.4418963985,81.7968250855,208.6696837501,77.22,99.3584570912,24.91,79.4297933001,157.7,64.23,23.29,41.9929227705,184.7971940483,29.31,117.2271491519,191.7836017601,47.6,11.33,149.9105837691,20.9031134479
2021-08-09,169.9573837023,107.58,27.3519587563,121.6467464079,38.0,94.71,53.6792281498,177.78,68.6749995551,60.37,74.3172743773,458.6415705634,60.381993627,80.0112602452,207.0534041055,78.12,98.6104261454,24.66,79.4099358517,156.52,63.91,23.93,42.5814221633,184.4693809319,29.42,117.2370660074,189.288904204,47.38,11.2,148.6828720837,20.6245379236
2021-08-10,169.6498313764,106.48,26.6943160321,119.9077935756,38.05,95.75,53.5699827271,176.87,69.8787768905,60.4,74.8143798916,457.2549820885,59.6531765743,75.7219145395,204.1101788267,76.98,98.8398223022,24.41,74.8228652887,158.65,64.75,24.31,42.5614730313,183.5952126216,28.81,115.3925308799,188.493781477,46.89,10.83,146.2773556919,20.2663693924
2021-08-11,169.1140950668,107.68,26.6544588973,116.1700443843,37.15,95.91,53.7686107684,173.1,66.3370848955,60.18,74.7994667261,458.1028959041,59.6931117553,74.8440949532,203.3020390044,76.07,98.5406099238,24.39,75.3888025659,158.63,64.5,23.69,42.6113458612,183.5554776984,29.01,115.0256072255,188.3446959656,46.68,10.84,147.6448069187,20.594690546
2021-08-12,167.2489390259,106.5,26.0566018753,113.3417475363,35.2,96.94,53.1727266446,169.78,63.8399930676,59.39,75.1374984758,461.2052629234,59.762998322,70.0759385641,199.4908116942,72.76,97.5631828214,24.0,73.621489665,157.42,64.51,23.87,42.6213204272,182.0654180786,28.52,114.7380184153,186.7246334093,43.46,10.93,145.6784719429,20.1071833785
2021-08-13,168.7370954415,110.55,26.1861375634,116.0800985481,34.97,96.6,53.1230696343,169.12,63.8897359327,58.91,75.3462827918,463.7091025434,60.2921394698,70.7442784764,195.7494236279,72.19,98.2413975455,24.06,74.5448610121,158.64,66.04,22.7,43.0302776323,182.1746891174,28.52,114.5396813048,187.5495732386,43.03,10.42,146.3572068584,20.0176412457
2021-08-16,169.7192786758,107.48,25.9071376198,115.9701647484,35.59,96.83,53.1032068302,168.6,65.1432561331,58.33,74.7696403953,457.4046139383,59.064132655,70.754253699,195.9290102551,71.54,98.3610824969,23.92,72.0626799715,157.79,65.11,21.98,43.0203030663,181.0223763448,28.04,113.6769148742,188.6925621587,42.22,10.33,142.3746299276,20.1171325044
2021-08-17,164.9869412743,107.56,24.5619593203,112.7820845558,34.53,93.51,52.3285574693,166.89,63.2032843943,56.77,72.4233023681,451.5589963393,58.4251697595,70.6046253604,196.9666218788,67.27,96.5458607351,23.64,70.2457234498,155.64,63.29,21.23,42.232312354,178.0231064995,26.99,110.1861817297,185.1840831257,41.16,10.04,142.3746299276,20.0972342526
2021-08-18,164.4710470502,103.44,24.4523521996,111.5628187768,34.47,93.65,51.8319873661,165.35,64.9243875267,56.15,71.4191492294,456.7861356258,57.746271683,70.4450217992,199.3710872761,66.98,97.8324739618,23.26,70.4939415538,155.11,62.96,21.03,42.1425412602,174.6252625883,26.85,109.5316692651,182.6794465355,40.57,10.23,141.047104284,20.2862676441
2021-08-19,165.47307237,103.7,24.3128522278,112.7521026104,34.75,92.99,52.0802724177,168.17,63.6310730341,56.62,71.9247055373,466.0732857703,58.8844243406,70.1058642318,203.2321997605,66.22,98.4807674482,23.39,69.5010691376,155.25,62.83,20.55,41.8133805829,176.5982042141,27.48,109.6010872538,183.9118867624,39.72,10.2,142.244871782,20.2862676441
2021-08-20,165.3242567285,104.65,24.7811735617,112.5122470473,35.15,94.54,51.653222129,167.37,63.6111758881,56.97,72.2188863087,475.0013194753,59.7530145267,70.055988119,202.94286575,65.8,99.7374594371,23.58,69.3918531718,157.78,63.4,20.94,42.222337788,178.2423222357,27.87,107.221041928,183.8423135238,40.46,10.37,144.0015974457,20.7140800564
2021-08-23,168.2906485168,108.77,25.1299234912,115.0507184232,36.37,96.04,52.8648531807,168.59,65.093513268,58.27,73.7346651983,483.9892059202,61.8995305039,71.5622467272,206.8738174783,68.95,101.5028124691,23.8,71.6556022808,158.0,65.31,21.76,43.0502267643,180.2750499714,28.29,110.0374288968,186.7047553411,41.22,10.6,153.234388576,21.1717398463
2021-08-24,164.5404943496,107.65,25.6580305273,115.0807003686,36.71,94.47,53.4408745003,170.38,64.4369074487,58.16,73.8194291494,484.13883777,62.4486392422,71.801652069,207.8116587536,70.0,103.4476929281,23.85,71.2584533143,157.88,66.21,21.82,43.0103285003,181.4209504106,28.65,111.1778672821,186.6749382389,42.64,10.68,152.8051885559,21.2714654226
2021-08-25,162.705101437,108.3,25.966923322,115.6803392763,37.25,93.63,53.4408745003,172.15,66.3967763336,57.84,75.5147081707,482.0838936994,63.097585933,73.8565479187,206.3051264922,72.76,104.2356188577,23.58,71.8938916607,158.7,67.3,21.5,42.8407608787,180.4344795977,29.09,116.0569602,186.9432921593,43.84,11.26,152.964890889,21.0321240395
2021-08-26,166.7231237591,107.27,26.0167447405,116.2599902204,37.29,93.68,52.76553916,169.45,66.3868277606,58.86,77.7534737019,486.0241990776,63.1375211139,72.5896946521,204.0104084783,72.44,105.0335185332,23.55,71.973321454,158.65,68.07,21.24,42.9405065385,180.2650856197,28.95,117.1180637411,186.8240237502,43.55,11.11,150.788946601,20.912453348
2021-08-27,165.8464725347,111.4,27.5213515792,119.9977394117,39.25,94.44,53.5203257168,172.43,69.600216846,61.18,79.4686971823,493.7452025275,61.2406000179,73.8166470284,208.9390636909,75.87,108.1652747595,24.41,73.5023449751,160.09,70.36,21.62,43.8781157405,182.7960309377,29.47,117.5048211066,189.3584774426,46.12,11.29,155.9792724256,21.7202305159
